iter	Passed	Remaining
0	5	571
1	11	556
2	17	560
3	21	524
4	27	519
5	32	514
6	38	516
7	43	498
8	46	473
9	50	453
10	53	433
11	57	418
12	59	399
13	62	386
14	66	376
15	69	363
16	72	353
17	75	344
18	79	338
19	82	329
20	85	322
21	89	315
22	92	309
23	95	301
24	98	294
25	101	288
26	104	282
27	107	276
28	110	271
29	113	265
30	116	260
31	119	253
32	122	248
33	125	242
34	128	237
35	131	233
36	133	227
37	135	221
38	138	216
39	142	213
40	144	208
41	145	201
42	148	196
43	151	192
44	153	187
45	156	183
46	159	179
47	162	176
48	165	172
49	168	168
50	172	165
51	175	161
52	178	158
53	180	154
54	182	149
55	185	145
56	188	142
57	191	138
58	194	134
59	196	131
60	199	127
61	201	123
62	204	120
63	207	116
64	209	112
65	212	109
66	214	105
67	217	102
68	220	98
69	222	95
70	225	91
71	227	88
72	230	85
73	233	82
74	235	78
75	238	75
76	240	71
77	242	68
78	245	65
79	248	62
80	250	58
81	253	55
82	255	52
83	258	49
84	261	46
85	263	42
86	265	39
87	268	36
88	270	33
89	273	30
90	276	27
91	278	24
92	281	21
93	284	18
94	286	15
95	289	12
96	291	9
97	294	6
98	297	3
99	299	0
