iter	Passed	Remaining
0	388	387790
1	392	196033
2	397	132011
3	406	101150
4	410	81590
5	412	68329
6	415	58888
7	418	51864
8	420	46339
9	423	41885
10	425	38239
11	427	35210
12	435	33052
13	437	30813
14	439	28866
15	441	27166
16	444	25714
17	447	24413
18	449	23234
19	452	22182
20	455	21213
21	458	20372
22	460	19570
23	463	18837
24	465	18162
25	468	17540
26	470	16950
27	473	16441
28	476	15942
29	478	15469
30	480	15024
31	482	14608
32	484	14208
33	490	13923
34	492	13574
35	494	13232
36	496	12917
37	498	12622
38	500	12322
39	502	12057
40	505	11814
41	507	11570
42	509	11329
43	511	11104
44	513	10895
45	516	10721
46	518	10517
47	520	10321
48	522	10132
49	523	9950
50	525	9774
51	526	9605
52	529	9458
53	531	9313
54	533	9162
55	535	9027
56	537	8885
57	539	8761
58	541	8640
59	546	8563
60	549	8451
61	550	8330
62	552	8217
63	554	8106
64	555	7995
65	558	7903
66	559	7797
67	562	7713
68	564	7610
69	565	7509
70	566	7412
71	568	7322
72	570	7244
73	572	7163
74	576	7114
75	579	7044
76	580	6964
77	582	6884
78	583	6805
79	585	6731
80	587	6660
81	591	6617
82	593	6558
83	619	6753
84	621	6688
85	622	6619
86	624	6553
87	626	6488
88	627	6424
89	629	6359
90	630	6295
91	631	6233
92	632	6171
93	633	6110
94	635	6056
95	637	6001
96	638	5944
97	640	5890
98	641	5837
99	642	5785
100	644	5732
101	645	5680
102	646	5629
103	647	5579
104	648	5529
105	650	5486
106	652	5445
107	654	5405
108	655	5360
109	657	5316
110	658	5272
111	659	5229
112	660	5186
113	661	5144
114	663	5103
115	665	5070
116	667	5035
117	668	4996
118	670	4964
119	672	4929
120	673	4892
121	674	4854
122	675	4819
123	677	4783
124	679	4755
125	680	4723
126	683	4695
127	684	4663
128	686	4631
129	687	4598
130	688	4566
131	689	4534
132	690	4502
133	692	4472
134	693	4443
135	695	4416
136	696	4390
137	698	4360
138	699	4334
139	701	4306
140	702	4278
141	703	4247
142	704	4219
143	705	4193
144	706	4167
145	709	4148
146	710	4123
147	711	4097
148	713	4072
149	714	4047
150	716	4025
151	717	4004
152	719	3985
153	765	4204
154	802	4376
155	827	4475
156	828	4449
157	830	4424
158	831	4398
159	833	4374
160	834	4347
161	835	4324
162	838	4307
163	840	4284
164	842	4261
165	843	4238
166	845	4215
167	846	4192
168	848	4169
169	849	4147
170	854	4144
171	857	4125
172	858	4103
173	859	4082
174	861	4060
175	862	4039
176	864	4018
177	866	4000
178	867	3979
179	869	3960
180	870	3940
181	872	3922
182	873	3901
183	875	3881
184	876	3861
185	877	3842
186	879	3821
187	881	3807
188	883	3790
189	885	3773
190	886	3755
191	887	3736
192	889	3718
193	890	3700
194	891	3682
195	893	3663
196	894	3646
197	896	3630
198	898	3616
199	899	3598
200	901	3582
201	902	3565
202	903	3548
203	905	3531
204	906	3515
205	907	3499
206	909	3482
207	914	3481
208	916	3467
209	917	3453
210	919	3437
211	921	3423
212	922	3409
213	924	3395
214	927	3386
215	929	3373
216	931	3359
217	932	3344
218	934	3331
219	935	3317
220	937	3303
221	938	3288
222	941	3280
223	943	3267
224	944	3253
225	945	3238
226	946	3223
227	947	3209
228	949	3195
229	950	3181
230	951	3168
231	953	3156
232	954	3143
233	956	3132
234	958	3119
235	959	3107
236	961	3094
237	963	3083
238	964	3070
239	966	3060
240	969	3051
241	971	3041
242	972	3030
243	974	3019
244	976	3008
245	978	2999
246	980	2990
247	982	2980
248	985	2972
249	988	2964
250	989	2954
251	991	2943
252	993	2934
253	996	2925
254	998	2918
255	1000	2908
256	1002	2897
257	1004	2887
258	1005	2876
259	1006	2865
260	1008	2855
261	1009	2844
262	1011	2833
263	1012	2823
264	1015	2815
265	1016	2804
266	1017	2794
267	1019	2785
268	1022	2777
269	1024	2769
270	1026	2761
271	1029	2756
272	1031	2747
273	1033	2737
274	1034	2727
275	1035	2717
276	1037	2706
277	1038	2696
278	1039	2686
279	1041	2678
280	1043	2669
281	1045	2662
282	1048	2655
283	1050	2648
284	1051	2637
285	1053	2630
286	1056	2623
287	1058	2616
288	1059	2606
289	1060	2597
290	1062	2587
291	1064	2580
292	1066	2574
293	1069	2567
294	1071	2560
295	1073	2553
296	1076	2547
297	1078	2540
298	1080	2533
299	1082	2526
300	1084	2519
301	1088	2514
302	1089	2506
303	1091	2498
304	1092	2489
305	1093	2480
306	1094	2471
307	1095	2462
308	1097	2454
309	1099	2446
310	1100	2438
311	1101	2429
312	1103	2421
313	1104	2413
314	1105	2404
315	1108	2398
316	1110	2392
317	1112	2386
318	1114	2380
319	1118	2375
320	1119	2368
321	1121	2360
322	1122	2353
323	1124	2345
324	1125	2337
325	1126	2329
326	1128	2321
327	1129	2313
328	1130	2306
329	1132	2299
330	1134	2292
331	1135	2284
332	1137	2279
333	1140	2273
334	1142	2267
335	1143	2260
336	1147	2256
337	1148	2249
338	1150	2242
339	1151	2235
340	1153	2228
341	1154	2221
342	1155	2214
343	1157	2207
344	1159	2200
345	1161	2195
346	1162	2187
347	1164	2181
348	1166	2175
349	1167	2168
350	1169	2162
351	1171	2157
352	1174	2151
353	1178	2151
354	1180	2144
355	1182	2138
356	1184	2133
357	1186	2126
358	1188	2121
359	1190	2116
360	1192	2111
361	1195	2106
362	1196	2100
363	1198	2093
364	1200	2088
365	1202	2083
366	1204	2076
367	1206	2072
368	1208	2065
369	1209	2058
370	1210	2051
371	1211	2045
372	1212	2038
373	1213	2031
374	1214	2024
375	1215	2018
376	1217	2011
377	1218	2005
378	1220	1999
379	1221	1993
380	1224	1988
381	1226	1984
382	1228	1978
383	1230	1974
384	1232	1968
385	1233	1962
386	1234	1955
387	1237	1952
388	1240	1949
389	1242	1943
390	1243	1937
391	1245	1931
392	1247	1926
393	1248	1920
394	1250	1914
395	1251	1909
396	1254	1905
397	1256	1900
398	1258	1894
399	1259	1889
400	1260	1883
401	1262	1877
402	1263	1871
403	1264	1866
404	1269	1865
405	1271	1860
406	1273	1855
407	1274	1849
408	1276	1843
409	1277	1837
410	1278	1832
411	1279	1826
412	1280	1820
413	1282	1815
414	1283	1809
415	1285	1804
416	1286	1798
417	1287	1793
418	1289	1787
419	1290	1781
420	1291	1775
421	1292	1770
422	1293	1764
423	1295	1759
424	1301	1760
425	1303	1756
426	1306	1752
427	1307	1747
428	1309	1743
429	1313	1740
430	1315	1737
431	1317	1732
432	1320	1728
433	1322	1724
434	1324	1720
435	1332	1723
436	1334	1718
437	1335	1713
438	1337	1709
439	1340	1705
440	1341	1700
441	1343	1696
442	1345	1691
443	1346	1686
444	1347	1681
445	1349	1676
446	1350	1670
447	1352	1666
448	1353	1660
449	1355	1656
450	1356	1651
451	1358	1647
452	1359	1641
453	1361	1636
454	1363	1633
455	1365	1629
456	1368	1625
457	1371	1622
458	1373	1618
459	1375	1614
460	1377	1610
461	1378	1605
462	1380	1601
463	1382	1596
464	1384	1593
465	1386	1589
466	1388	1584
467	1390	1580
468	1392	1576
469	1393	1571
470	1395	1567
471	1398	1564
472	1400	1560
473	1402	1556
474	1404	1552
475	1406	1548
476	1408	1544
477	1410	1540
478	1414	1538
479	1416	1534
480	1419	1531
481	1420	1526
482	1422	1522
483	1423	1517
484	1426	1514
485	1427	1510
486	1429	1505
487	1429	1500
488	1431	1495
489	1432	1490
490	1433	1485
491	1434	1480
492	1435	1476
493	1436	1471
494	1437	1466
495	1439	1462
496	1442	1459
497	1443	1455
498	1445	1451
499	1446	1446
500	1448	1442
501	1450	1439
502	1453	1435
503	1455	1432
504	1457	1428
505	1459	1424
506	1460	1420
507	1462	1416
508	1463	1412
509	1465	1407
510	1466	1403
511	1467	1398
512	1469	1394
513	1471	1391
514	1473	1388
515	1475	1383
516	1477	1380
517	1479	1376
518	1481	1373
519	1483	1369
520	1486	1366
521	1489	1363
522	1490	1359
523	1491	1355
524	1493	1351
525	1494	1347
526	1496	1342
527	1497	1338
528	1498	1334
529	1500	1331
530	1502	1326
531	1503	1322
532	1505	1318
533	1507	1315
534	1508	1311
535	1511	1308
536	1513	1304
537	1516	1302
538	1518	1299
539	1521	1295
540	1523	1292
541	1525	1289
542	1527	1285
543	1531	1283
544	1533	1280
545	1534	1276
546	1536	1272
547	1539	1269
548	1541	1266
549	1543	1262
550	1546	1260
551	1547	1256
552	1550	1252
553	1551	1249
554	1553	1245
555	1555	1241
556	1557	1238
557	1561	1237
558	1563	1233
559	1565	1230
560	1567	1226
561	1568	1222
562	1570	1219
563	1572	1215
564	1574	1212
565	1576	1208
566	1577	1204
567	1578	1200
568	1580	1196
569	1581	1193
570	1582	1189
571	1583	1185
572	1585	1181
573	1586	1177
574	1587	1173
575	1590	1170
576	1592	1167
577	1593	1163
578	1595	1160
579	1596	1156
580	1597	1152
581	1600	1149
582	1602	1146
583	1606	1144
584	1608	1140
585	1609	1137
586	1611	1133
587	1612	1129
588	1614	1126
589	1615	1122
590	1617	1119
591	1619	1116
592	1621	1113
593	1622	1109
594	1624	1105
595	1627	1102
596	1629	1099
597	1631	1096
598	1634	1094
599	1636	1090
600	1638	1087
601	1640	1084
602	1641	1080
603	1643	1077
604	1646	1074
605	1649	1072
606	1651	1069
607	1653	1065
608	1655	1062
609	1657	1059
610	1658	1056
611	1661	1053
612	1663	1050
613	1665	1046
614	1666	1043
615	1667	1039
616	1669	1036
617	1670	1032
618	1672	1029
619	1675	1026
620	1679	1024
621	1681	1022
622	1683	1018
623	1685	1015
624	1687	1012
625	1689	1009
626	1692	1006
627	1695	1004
628	1697	1001
629	1700	998
630	1702	995
631	1704	992
632	1707	989
633	1709	987
634	1711	983
635	1713	980
636	1715	977
637	1718	974
638	1720	971
639	1722	968
640	1724	965
641	1725	962
642	1727	959
643	1729	955
644	1730	952
645	1731	948
646	1732	945
647	1734	942
648	1736	939
649	1737	935
650	1739	932
651	1741	929
652	1743	926
653	1745	923
654	1747	920
655	1751	918
656	1753	915
657	1754	912
658	1757	909
659	1759	906
660	1761	903
661	1767	902
662	1769	899
663	1770	896
664	1772	892
665	1774	889
666	1776	886
667	1779	884
668	1781	881
669	1783	878
670	1786	875
671	1788	873
672	1790	870
673	1796	868
674	1798	865
675	1799	862
676	1801	859
677	1802	856
678	1804	853
679	1805	849
680	1807	846
681	1809	843
682	1811	840
683	1812	837
684	1814	834
685	1816	831
686	1819	828
687	1820	825
688	1823	823
689	1826	820
690	1827	817
691	1829	814
692	1830	810
693	1831	807
694	1833	804
695	1835	801
696	1837	798
697	1839	795
698	1840	792
699	1841	789
700	1843	786
701	1844	782
702	1845	779
703	1846	776
704	1847	772
705	1848	769
706	1849	766
707	1850	763
708	1854	760
709	1856	758
710	1858	755
711	1859	752
712	1860	748
713	1861	745
714	1862	742
715	1863	739
716	1865	736
717	1866	732
718	1867	729
719	1868	726
720	1870	723
721	1873	721
722	1875	718
723	1876	715
724	1878	712
725	1880	709
726	1883	707
727	1884	704
728	1886	701
729	1887	698
730	1889	695
731	1891	692
732	1892	689
733	1894	686
734	1895	683
735	1897	680
736	1899	677
737	1902	675
738	1904	672
739	1906	670
740	1908	667
741	1911	664
742	1913	661
743	1915	659
744	1918	656
745	1920	653
746	1922	651
747	1924	648
748	1927	645
749	1928	642
750	1930	640
751	1931	637
752	1934	634
753	1936	631
754	1938	629
755	1942	626
756	1944	624
757	1946	621
758	1947	618
759	1948	615
760	1951	612
761	1953	610
762	1955	607
763	1958	604
764	1959	601
765	1960	599
766	1962	596
767	1963	593
768	1964	590
769	1966	587
770	1967	584
771	1968	581
772	1971	578
773	1972	576
774	1973	573
775	1974	570
776	1976	567
777	1978	564
778	1979	561
779	1982	559
780	1984	556
781	1986	553
782	1989	551
783	1991	548
784	1993	545
785	1994	543
786	1996	540
787	1999	537
788	2001	535
789	2003	532
790	2005	529
791	2007	527
792	2009	524
793	2011	521
794	2014	519
795	2016	516
796	2019	514
797	2022	511
798	2024	509
799	2026	506
800	2030	504
801	2031	501
802	2034	499
803	2036	496
804	2037	493
805	2039	490
806	2041	488
807	2043	485
808	2044	482
809	2047	480
810	2049	477
811	2051	475
812	2053	472
813	2055	469
814	2059	467
815	2061	464
816	2063	462
817	2064	459
818	2066	456
819	2068	453
820	2069	451
821	2070	448
822	2071	445
823	2073	442
824	2075	440
825	2076	437
826	2077	434
827	2078	431
828	2079	428
829	2080	426
830	2081	423
831	2082	420
832	2083	417
833	2084	414
834	2086	412
835	2088	409
836	2089	406
837	2090	404
838	2092	401
839	2093	398
840	2094	395
841	2095	393
842	2096	390
843	2097	387
844	2098	384
845	2099	382
846	2101	379
847	2103	377
848	2105	374
849	2106	371
850	2107	369
851	2109	366
852	2111	363
853	2112	361
854	2113	358
855	2115	355
856	2118	353
857	2119	350
858	2125	348
859	2145	349
860	2146	346
861	2148	343
862	2151	341
863	2153	338
864	2155	336
865	2156	333
866	2158	331
867	2159	328
868	2161	325
869	2162	323
870	2165	320
871	2167	318
872	2169	315
873	2170	312
874	2172	310
875	2173	307
876	2175	305
877	2176	302
878	2178	299
879	2180	297
880	2182	294
881	2183	292
882	2185	289
883	2186	286
884	2187	284
885	2188	281
886	2190	279
887	2192	276
888	2194	274
889	2197	271
890	2199	269
891	2201	266
892	2202	263
893	2204	261
894	2205	258
895	2207	256
896	2208	253
897	2211	251
898	2212	248
899	2213	245
900	2214	243
901	2215	240
902	2217	238
903	2218	235
904	2220	233
905	2222	230
906	2224	228
907	2225	225
908	2227	222
909	2228	220
910	2230	217
911	2231	215
912	2233	212
913	2234	210
914	2236	207
915	2238	205
916	2239	202
917	2240	200
918	2241	197
919	2242	195
920	2244	192
921	2245	189
922	2246	187
923	2247	184
924	2249	182
925	2251	179
926	2253	177
927	2255	174
928	2256	172
929	2257	169
930	2259	167
931	2260	164
932	2261	162
933	2263	159
934	2265	157
935	2267	155
936	2268	152
937	2269	150
938	2271	147
939	2272	145
940	2273	142
941	2274	140
942	2276	137
943	2277	135
944	2281	132
945	2283	130
946	2285	127
947	2286	125
948	2288	122
949	2290	120
950	2291	118
951	2293	115
952	2294	113
953	2296	110
954	2297	108
955	2298	105
956	2299	103
957	2300	100
958	2301	98
959	2302	95
960	2304	93
961	2305	91
962	2308	88
963	2309	86
964	2311	83
965	2312	81
966	2313	78
967	2315	76
968	2317	74
969	2319	71
970	2321	69
971	2324	66
972	2326	64
973	2328	62
974	2330	59
975	2331	57
976	2334	54
977	2336	52
978	2340	50
979	2342	47
980	2343	45
981	2346	43
982	2347	40
983	2349	38
984	2351	35
985	2353	33
986	2355	31
987	2356	28
988	2357	26
989	2359	23
990	2362	21
991	2364	19
992	2368	16
993	2370	14
994	2372	11
995	2374	9
996	2376	7
997	2378	4
998	2381	2
999	2383	0
